team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model,median_salary,avg_salary,total_salary,num_players,wins,losses,win_pct,points_scored,points_allowed,point_diff,games_played
MIN,0.7363596456678333,0.8235294117647058,1,3.5,-2.5,Logistic,1958333.0,3162163.6923076925,164432512.0,52.0,14,4,0.7777777777777778,441.0,359.0,82.0,18
BUF,0.7153691662759387,0.7647058823529411,2,5.0,-3.0,Logistic,1481500.0,3303931.754716981,175108383.0,53.0,15,5,0.75,612.0,432.0,180.0,20
PHI,0.6828927722952336,0.8235294117647058,3,3.5,-0.5,Logistic,1356667.0,3179949.245283019,168537310.0,53.0,18,3,0.8571428571428571,608.0,380.0,228.0,21
DET,0.6808487850018551,0.8823529411764706,4,1.5,2.5,Logistic,1252626.0,2916533.5576923075,151659745.0,52.0,15,3,0.8333333333333334,595.0,387.0,208.0,18
KC,0.6785755509623268,0.8823529411764706,5,1.5,3.5,Logistic,1334192.0,4249470.480769231,220972465.0,52.0,17,3,0.85,462.0,409.0,53.0,20
SEA,0.6529650128418396,0.5882352941176471,6,12.5,-6.5,Logistic,1082355.0,3287858.9615384615,170968666.0,52.0,10,7,0.5882352941176471,375.0,368.0,7.0,17
MIA,0.6120505240884802,0.47058823529411764,7,18.5,-11.5,Logistic,1475000.0,2610268.132075472,138344211.0,53.0,8,9,0.4705882352941176,345.0,364.0,-19.0,17
NO,0.5974940835685756,0.29411764705882354,8,24.5,-16.5,Logistic,1410000.0,2763322.4905660376,146456092.0,53.0,5,12,0.2941176470588235,338.0,398.0,-60.0,17
DAL,0.5885503147796508,0.4117647058823529,9,21.0,-12.0,Logistic,,,,,7,10,0.4117647058823529,350.0,468.0,-118.0,17
LAC,0.5767818455644214,0.6470588235294118,10,8.5,1.5,Logistic,1231914.0,3461561.6415094337,183462767.0,53.0,11,7,0.6111111111111112,414.0,333.0,81.0,18
TB,0.570750060360933,0.5882352941176471,11,12.5,-1.5,Logistic,1152500.0,2627369.603773585,139250589.0,53.0,10,8,0.5555555555555556,522.0,408.0,114.0,18
BAL,0.5514161144157371,0.7058823529411765,12,6.5,5.5,Logistic,1450708.5,4063566.296296296,219432580.0,54.0,13,6,0.6842105263157895,571.0,402.0,169.0,19
HOU,0.5463734881461351,0.5882352941176471,13,12.5,0.5,Logistic,1621764.0,3413713.6226415094,180926822.0,53.0,11,8,0.5789473684210527,418.0,407.0,11.0,19
PIT,0.5381237584651196,0.5882352941176471,14,12.5,1.5,Logistic,1371675.0,3580664.0392156863,182613866.0,51.0,10,8,0.5555555555555556,394.0,375.0,19.0,18
CIN,0.5278508241175462,0.5294117647058824,15,16.0,-1.0,Logistic,1059933.0,3571960.8076923075,185741962.0,52.0,9,8,0.5294117647058824,472.0,434.0,38.0,17
GB,0.49282714792403653,0.6470588235294118,16,8.5,7.5,Logistic,1118042.5,2971969.230769231,154542400.0,52.0,11,7,0.6111111111111112,470.0,360.0,110.0,18
DEN,0.4768602622308028,0.5882352941176471,17,12.5,4.5,Logistic,1270706.0,2894917.8653846155,150535729.0,52.0,10,8,0.5555555555555556,432.0,342.0,90.0,18
WAS,0.47116186003208776,0.7058823529411765,18,6.5,11.5,Logistic,1735868.0,3513735.9433962265,186228005.0,53.0,14,6,0.7,576.0,497.0,79.0,20
LA,0.4530582025034064,0.5882352941176471,19,12.5,6.5,Logistic,1047957.0,3951826.2264150945,209446790.0,53.0,11,8,0.5789473684210527,416.0,423.0,-7.0,19
CAR,0.4501200547355082,0.29411764705882354,20,24.5,-4.5,Logistic,1125000.0,2841799.75,147773587.0,52.0,5,12,0.2941176470588235,341.0,534.0,-193.0,17
IND,0.4417474819457008,0.47058823529411764,21,18.5,2.5,Logistic,1430000.0,3761440.169811321,199356329.0,53.0,8,9,0.4705882352941176,377.0,427.0,-50.0,17
ARI,0.43355392949973304,0.47058823529411764,22,18.5,3.5,Logistic,1055000.0,3111485.283018868,164908720.0,53.0,8,9,0.4705882352941176,400.0,379.0,21.0,17
SF,0.39990155066018146,0.35294117647058826,23,22.0,1.0,Logistic,1092500.0,2607576.7358490564,138201567.0,53.0,6,11,0.3529411764705882,389.0,436.0,-47.0,17
NE,0.3977522750170066,0.23529411764705882,24,28.0,-4.0,Logistic,1008018.0,2452934.6415094337,130005536.0,53.0,4,13,0.2352941176470588,289.0,417.0,-128.0,17
CHI,0.3708225943733075,0.29411764705882354,25,24.5,0.5,Logistic,1309952.0,3866948.264150944,204948258.0,53.0,5,12,0.2941176470588235,310.0,370.0,-60.0,17
JAX,0.35948833529209373,0.23529411764705882,26,28.0,-2.0,Logistic,1389621.0,2695727.150943396,142873539.0,53.0,4,13,0.2352941176470588,320.0,435.0,-115.0,17
NYJ,0.3439599325560918,0.29411764705882354,27,24.5,2.5,Logistic,1176024.0,2958533.0943396227,156802254.0,53.0,5,12,0.2941176470588235,338.0,404.0,-66.0,17
ATL,0.3426201598153882,0.47058823529411764,28,18.5,9.5,Logistic,1685000.0,4147858.113207547,219836480.0,53.0,8,9,0.4705882352941176,389.0,423.0,-34.0,17
TEN,0.34062537851277147,0.17647058823529413,29,31.0,-2.0,Logistic,988334.0,2680040.132075472,142042127.0,53.0,3,14,0.1764705882352941,311.0,460.0,-149.0,17
CLE,0.31497895575970053,0.17647058823529413,30,31.0,-1.0,Logistic,1000568.0,2462932.1886792453,130535406.0,53.0,3,14,0.1764705882352941,258.0,435.0,-177.0,17
LV,0.3050418749271311,0.23529411764705882,31,28.0,3.0,Logistic,995254.0,2102123.4905660376,111412545.0,53.0,4,13,0.2352941176470588,309.0,434.0,-125.0,17
NYG,0.291125487837067,0.17647058823529413,32,31.0,1.0,Logistic,1152500.0,2206632.4905660376,116951522.0,53.0,3,14,0.1764705882352941,273.0,415.0,-142.0,17
DET,0.6992847386747055,0.8823529411764706,1,1.5,-0.5,KNN,1252626.0,2916533.5576923075,151659745.0,52.0,15,3,0.8333333333333334,595.0,387.0,208.0,18
BUF,0.6791757580579446,0.7647058823529411,2,5.0,-3.0,KNN,1481500.0,3303931.754716981,175108383.0,53.0,15,5,0.75,612.0,432.0,180.0,20
MIA,0.6629794698049964,0.47058823529411764,3,18.5,-15.5,KNN,1475000.0,2610268.132075472,138344211.0,53.0,8,9,0.4705882352941176,345.0,364.0,-19.0,17
CIN,0.6134226350893193,0.5294117647058824,4,16.0,-12.0,KNN,1059933.0,3571960.8076923075,185741962.0,52.0,9,8,0.5294117647058824,472.0,434.0,38.0,17
KC,0.5668626760523953,0.8823529411764706,5,1.5,3.5,KNN,1334192.0,4249470.480769231,220972465.0,52.0,17,3,0.85,462.0,409.0,53.0,20
HOU,0.5650796691999861,0.5882352941176471,6,12.5,-6.5,KNN,1621764.0,3413713.6226415094,180926822.0,53.0,11,8,0.5789473684210527,418.0,407.0,11.0,19
MIN,0.5625798224373768,0.8235294117647058,7,3.5,3.5,KNN,1958333.0,3162163.6923076925,164432512.0,52.0,14,4,0.7777777777777778,441.0,359.0,82.0,18
SF,0.5620243391368872,0.35294117647058826,8,22.0,-14.0,KNN,1092500.0,2607576.7358490564,138201567.0,53.0,6,11,0.3529411764705882,389.0,436.0,-47.0,17
NO,0.5607107671554827,0.29411764705882354,9,24.5,-15.5,KNN,1410000.0,2763322.4905660376,146456092.0,53.0,5,12,0.2941176470588235,338.0,398.0,-60.0,17
PHI,0.5574816390477942,0.8235294117647058,10,3.5,6.5,KNN,1356667.0,3179949.245283019,168537310.0,53.0,18,3,0.8571428571428571,608.0,380.0,228.0,21
PIT,0.552660664783122,0.5882352941176471,11,12.5,-1.5,KNN,1371675.0,3580664.0392156863,182613866.0,51.0,10,8,0.5555555555555556,394.0,375.0,19.0,18
TB,0.5425416572537312,0.5882352941176471,12,12.5,-0.5,KNN,1152500.0,2627369.603773585,139250589.0,53.0,10,8,0.5555555555555556,522.0,408.0,114.0,18
BAL,0.5312333372993436,0.7058823529411765,13,6.5,6.5,KNN,1450708.5,4063566.296296296,219432580.0,54.0,13,6,0.6842105263157895,571.0,402.0,169.0,19
LA,0.5092283437346773,0.5882352941176471,14,12.5,1.5,KNN,1047957.0,3951826.2264150945,209446790.0,53.0,11,8,0.5789473684210527,416.0,423.0,-7.0,19
ATL,0.49715547097867085,0.47058823529411764,15,18.5,-3.5,KNN,1685000.0,4147858.113207547,219836480.0,53.0,8,9,0.4705882352941176,389.0,423.0,-34.0,17
LV,0.489749921001233,0.23529411764705882,16,28.0,-12.0,KNN,995254.0,2102123.4905660376,111412545.0,53.0,4,13,0.2352941176470588,309.0,434.0,-125.0,17
IND,0.489008788156521,0.47058823529411764,17,18.5,-1.5,KNN,1430000.0,3761440.169811321,199356329.0,53.0,8,9,0.4705882352941176,377.0,427.0,-50.0,17
DAL,0.4852886524179147,0.4117647058823529,18,21.0,-3.0,KNN,,,,,7,10,0.4117647058823529,350.0,468.0,-118.0,17
WAS,0.4840894958497851,0.7058823529411765,19,6.5,12.5,KNN,1735868.0,3513735.9433962265,186228005.0,53.0,14,6,0.7,576.0,497.0,79.0,20
LAC,0.4736995311912513,0.6470588235294118,20,8.5,11.5,KNN,1231914.0,3461561.6415094337,183462767.0,53.0,11,7,0.6111111111111112,414.0,333.0,81.0,18
GB,0.469255653681212,0.6470588235294118,21,8.5,12.5,KNN,1118042.5,2971969.230769231,154542400.0,52.0,11,7,0.6111111111111112,470.0,360.0,110.0,18
ARI,0.46113384803765406,0.47058823529411764,22,18.5,3.5,KNN,1055000.0,3111485.283018868,164908720.0,53.0,8,9,0.4705882352941176,400.0,379.0,21.0,17
NE,0.45590627044228615,0.23529411764705882,23,28.0,-5.0,KNN,1008018.0,2452934.6415094337,130005536.0,53.0,4,13,0.2352941176470588,289.0,417.0,-128.0,17
CAR,0.43916785609727926,0.29411764705882354,24,24.5,-0.5,KNN,1125000.0,2841799.75,147773587.0,52.0,5,12,0.2941176470588235,341.0,534.0,-193.0,17
CHI,0.4253933670659585,0.29411764705882354,25,24.5,0.5,KNN,1309952.0,3866948.264150944,204948258.0,53.0,5,12,0.2941176470588235,310.0,370.0,-60.0,17
JAX,0.4125284871464555,0.23529411764705882,26,28.0,-2.0,KNN,1389621.0,2695727.150943396,142873539.0,53.0,4,13,0.2352941176470588,320.0,435.0,-115.0,17
DEN,0.412188004173295,0.5882352941176471,27,12.5,14.5,KNN,1270706.0,2894917.8653846155,150535729.0,52.0,10,8,0.5555555555555556,432.0,342.0,90.0,18
NYG,0.39482011627218666,0.17647058823529413,28,31.0,-3.0,KNN,1152500.0,2206632.4905660376,116951522.0,53.0,3,14,0.1764705882352941,273.0,415.0,-142.0,17
SEA,0.39423811745893333,0.5882352941176471,29,12.5,16.5,KNN,1082355.0,3287858.9615384615,170968666.0,52.0,10,7,0.5882352941176471,375.0,368.0,7.0,17
NYJ,0.39069493529832583,0.29411764705882354,30,24.5,5.5,KNN,1176024.0,2958533.0943396227,156802254.0,53.0,5,12,0.2941176470588235,338.0,404.0,-66.0,17
CLE,0.3204231879318587,0.17647058823529413,31,31.0,0.0,KNN,1000568.0,2462932.1886792453,130535406.0,53.0,3,14,0.1764705882352941,258.0,435.0,-177.0,17
TEN,0.28174373063629227,0.17647058823529413,32,31.0,1.0,KNN,988334.0,2680040.132075472,142042127.0,53.0,3,14,0.1764705882352941,311.0,460.0,-149.0,17
BUF,0.643033510351991,0.7647058823529411,1,5.0,-4.0,RandomForest,1481500.0,3303931.754716981,175108383.0,53.0,15,5,0.75,612.0,432.0,180.0,20
DET,0.6192073388239947,0.8823529411764706,2,1.5,0.5,RandomForest,1252626.0,2916533.5576923075,151659745.0,52.0,15,3,0.8333333333333334,595.0,387.0,208.0,18
KC,0.6161819308811394,0.8823529411764706,3,1.5,1.5,RandomForest,1334192.0,4249470.480769231,220972465.0,52.0,17,3,0.85,462.0,409.0,53.0,20
MIN,0.6136541086578238,0.8235294117647058,4,3.5,0.5,RandomForest,1958333.0,3162163.6923076925,164432512.0,52.0,14,4,0.7777777777777778,441.0,359.0,82.0,18
PHI,0.5994555471722449,0.8235294117647058,5,3.5,1.5,RandomForest,1356667.0,3179949.245283019,168537310.0,53.0,18,3,0.8571428571428571,608.0,380.0,228.0,21
SEA,0.5719743442992061,0.5882352941176471,6,12.5,-6.5,RandomForest,1082355.0,3287858.9615384615,170968666.0,52.0,10,7,0.5882352941176471,375.0,368.0,7.0,17
CIN,0.5715361789672676,0.5294117647058824,7,16.0,-9.0,RandomForest,1059933.0,3571960.8076923075,185741962.0,52.0,9,8,0.5294117647058824,472.0,434.0,38.0,17
TB,0.5631964062945437,0.5882352941176471,8,12.5,-4.5,RandomForest,1152500.0,2627369.603773585,139250589.0,53.0,10,8,0.5555555555555556,522.0,408.0,114.0,18
MIA,0.5588880830085822,0.47058823529411764,9,18.5,-9.5,RandomForest,1475000.0,2610268.132075472,138344211.0,53.0,8,9,0.4705882352941176,345.0,364.0,-19.0,17
NO,0.5580133944335447,0.29411764705882354,10,24.5,-14.5,RandomForest,1410000.0,2763322.4905660376,146456092.0,53.0,5,12,0.2941176470588235,338.0,398.0,-60.0,17
BAL,0.5500060042055029,0.7058823529411765,11,6.5,4.5,RandomForest,1450708.5,4063566.296296296,219432580.0,54.0,13,6,0.6842105263157895,571.0,402.0,169.0,19
LAC,0.5405921272743857,0.6470588235294118,12,8.5,3.5,RandomForest,1231914.0,3461561.6415094337,183462767.0,53.0,11,7,0.6111111111111112,414.0,333.0,81.0,18
WAS,0.5315469601788366,0.7058823529411765,13,6.5,6.5,RandomForest,1735868.0,3513735.9433962265,186228005.0,53.0,14,6,0.7,576.0,497.0,79.0,20
HOU,0.5286334403120666,0.5882352941176471,14,12.5,1.5,RandomForest,1621764.0,3413713.6226415094,180926822.0,53.0,11,8,0.5789473684210527,418.0,407.0,11.0,19
DAL,0.5139226371578229,0.4117647058823529,15,21.0,-6.0,RandomForest,,,,,7,10,0.4117647058823529,350.0,468.0,-118.0,17
GB,0.5102346499311808,0.6470588235294118,16,8.5,7.5,RandomForest,1118042.5,2971969.230769231,154542400.0,52.0,11,7,0.6111111111111112,470.0,360.0,110.0,18
PIT,0.5032423675172518,0.5882352941176471,17,12.5,4.5,RandomForest,1371675.0,3580664.0392156863,182613866.0,51.0,10,8,0.5555555555555556,394.0,375.0,19.0,18
IND,0.5020107799397302,0.47058823529411764,18,18.5,-0.5,RandomForest,1430000.0,3761440.169811321,199356329.0,53.0,8,9,0.4705882352941176,377.0,427.0,-50.0,17
LA,0.4814556400275284,0.5882352941176471,19,12.5,6.5,RandomForest,1047957.0,3951826.2264150945,209446790.0,53.0,11,8,0.5789473684210527,416.0,423.0,-7.0,19
CAR,0.4758199193663696,0.29411764705882354,20,24.5,-4.5,RandomForest,1125000.0,2841799.75,147773587.0,52.0,5,12,0.2941176470588235,341.0,534.0,-193.0,17
ARI,0.46612665439280876,0.47058823529411764,21,18.5,2.5,RandomForest,1055000.0,3111485.283018868,164908720.0,53.0,8,9,0.4705882352941176,400.0,379.0,21.0,17
DEN,0.4542912147166712,0.5882352941176471,22,12.5,9.5,RandomForest,1270706.0,2894917.8653846155,150535729.0,52.0,10,8,0.5555555555555556,432.0,342.0,90.0,18
SF,0.4527928241767772,0.35294117647058826,23,22.0,1.0,RandomForest,1092500.0,2607576.7358490564,138201567.0,53.0,6,11,0.3529411764705882,389.0,436.0,-47.0,17
NE,0.44324927938446496,0.23529411764705882,24,28.0,-4.0,RandomForest,1008018.0,2452934.6415094337,130005536.0,53.0,4,13,0.2352941176470588,289.0,417.0,-128.0,17
JAX,0.42165758825270244,0.23529411764705882,25,28.0,-3.0,RandomForest,1389621.0,2695727.150943396,142873539.0,53.0,4,13,0.2352941176470588,320.0,435.0,-115.0,17
ATL,0.4112453311195144,0.47058823529411764,26,18.5,7.5,RandomForest,1685000.0,4147858.113207547,219836480.0,53.0,8,9,0.4705882352941176,389.0,423.0,-34.0,17
NYJ,0.4076456445250047,0.29411764705882354,27,24.5,2.5,RandomForest,1176024.0,2958533.0943396227,156802254.0,53.0,5,12,0.2941176470588235,338.0,404.0,-66.0,17
LV,0.40447177429134973,0.23529411764705882,28,28.0,0.0,RandomForest,995254.0,2102123.4905660376,111412545.0,53.0,4,13,0.2352941176470588,309.0,434.0,-125.0,17
CHI,0.3976482630070703,0.29411764705882354,29,24.5,4.5,RandomForest,1309952.0,3866948.264150944,204948258.0,53.0,5,12,0.2941176470588235,310.0,370.0,-60.0,17
TEN,0.39693287093823487,0.17647058823529413,30,31.0,-1.0,RandomForest,988334.0,2680040.132075472,142042127.0,53.0,3,14,0.1764705882352941,311.0,460.0,-149.0,17
CLE,0.355216354271745,0.17647058823529413,31,31.0,0.0,RandomForest,1000568.0,2462932.1886792453,130535406.0,53.0,3,14,0.1764705882352941,258.0,435.0,-177.0,17
NYG,0.35258445879573724,0.17647058823529413,32,31.0,1.0,RandomForest,1152500.0,2206632.4905660376,116951522.0,53.0,3,14,0.1764705882352941,273.0,415.0,-142.0,17
DET,0.7765296222815051,0.8823529411764706,1,1.5,-0.5,Stacked,1252626.0,2916533.5576923075,151659745.0,52.0,15,3,0.8333333333333334,595.0,387.0,208.0,18
BUF,0.7315147170676297,0.7647058823529411,2,5.0,-3.0,Stacked,1481500.0,3303931.754716981,175108383.0,53.0,15,5,0.75,612.0,432.0,180.0,20
MIA,0.6940659018524413,0.47058823529411764,3,18.5,-15.5,Stacked,1475000.0,2610268.132075472,138344211.0,53.0,8,9,0.4705882352941176,345.0,364.0,-19.0,17
CIN,0.6705674923525117,0.5294117647058824,4,16.0,-12.0,Stacked,1059933.0,3571960.8076923075,185741962.0,52.0,9,8,0.5294117647058824,472.0,434.0,38.0,17
MIN,0.6439280765554356,0.8235294117647058,5,3.5,1.5,Stacked,1958333.0,3162163.6923076925,164432512.0,52.0,14,4,0.7777777777777778,441.0,359.0,82.0,18
KC,0.6237651115034024,0.8823529411764706,6,1.5,4.5,Stacked,1334192.0,4249470.480769231,220972465.0,52.0,17,3,0.85,462.0,409.0,53.0,20
HOU,0.5877486602240389,0.5882352941176471,7,12.5,-5.5,Stacked,1621764.0,3413713.6226415094,180926822.0,53.0,11,8,0.5789473684210527,418.0,407.0,11.0,19
NO,0.5837135894586848,0.29411764705882354,8,24.5,-16.5,Stacked,1410000.0,2763322.4905660376,146456092.0,53.0,5,12,0.2941176470588235,338.0,398.0,-60.0,17
PHI,0.5718289920170239,0.8235294117647058,9,3.5,5.5,Stacked,1356667.0,3179949.245283019,168537310.0,53.0,18,3,0.8571428571428571,608.0,380.0,228.0,21
SF,0.5551999087030526,0.35294117647058826,10,22.0,-12.0,Stacked,1092500.0,2607576.7358490564,138201567.0,53.0,6,11,0.3529411764705882,389.0,436.0,-47.0,17
TB,0.5513494464647625,0.5882352941176471,11,12.5,-1.5,Stacked,1152500.0,2627369.603773585,139250589.0,53.0,10,8,0.5555555555555556,522.0,408.0,114.0,18
PIT,0.54626637458885,0.5882352941176471,12,12.5,-0.5,Stacked,1371675.0,3580664.0392156863,182613866.0,51.0,10,8,0.5555555555555556,394.0,375.0,19.0,18
ATL,0.5241342428300525,0.47058823529411764,13,18.5,-5.5,Stacked,1685000.0,4147858.113207547,219836480.0,53.0,8,9,0.4705882352941176,389.0,423.0,-34.0,17
BAL,0.5209865202823273,0.7058823529411765,14,6.5,7.5,Stacked,1450708.5,4063566.296296296,219432580.0,54.0,13,6,0.6842105263157895,571.0,402.0,169.0,19
DAL,0.5097950860825834,0.4117647058823529,15,21.0,-6.0,Stacked,,,,,7,10,0.4117647058823529,350.0,468.0,-118.0,17
LA,0.5041139961187696,0.5882352941176471,16,12.5,3.5,Stacked,1047957.0,3951826.2264150945,209446790.0,53.0,11,8,0.5789473684210527,416.0,423.0,-7.0,19
LV,0.48876086375285227,0.23529411764705882,17,28.0,-11.0,Stacked,995254.0,2102123.4905660376,111412545.0,53.0,4,13,0.2352941176470588,309.0,434.0,-125.0,17
GB,0.4846314589004628,0.6470588235294118,18,8.5,9.5,Stacked,1118042.5,2971969.230769231,154542400.0,52.0,11,7,0.6111111111111112,470.0,360.0,110.0,18
WAS,0.4780117390020515,0.7058823529411765,19,6.5,12.5,Stacked,1735868.0,3513735.9433962265,186228005.0,53.0,14,6,0.7,576.0,497.0,79.0,20
IND,0.4779394999999872,0.47058823529411764,20,18.5,1.5,Stacked,1430000.0,3761440.169811321,199356329.0,53.0,8,9,0.4705882352941176,377.0,427.0,-50.0,17
NE,0.4694161346908838,0.23529411764705882,21,28.0,-7.0,Stacked,1008018.0,2452934.6415094337,130005536.0,53.0,4,13,0.2352941176470588,289.0,417.0,-128.0,17
LAC,0.4461981600754149,0.6470588235294118,22,8.5,13.5,Stacked,1231914.0,3461561.6415094337,183462767.0,53.0,11,7,0.6111111111111112,414.0,333.0,81.0,18
ARI,0.4178120236708018,0.47058823529411764,23,18.5,4.5,Stacked,1055000.0,3111485.283018868,164908720.0,53.0,8,9,0.4705882352941176,400.0,379.0,21.0,17
CAR,0.41657138843804153,0.29411764705882354,24,24.5,-0.5,Stacked,1125000.0,2841799.75,147773587.0,52.0,5,12,0.2941176470588235,341.0,534.0,-193.0,17
DEN,0.39547839803134327,0.5882352941176471,25,12.5,12.5,Stacked,1270706.0,2894917.8653846155,150535729.0,52.0,10,8,0.5555555555555556,432.0,342.0,90.0,18
CHI,0.36398261333956006,0.29411764705882354,26,24.5,1.5,Stacked,1309952.0,3866948.264150944,204948258.0,53.0,5,12,0.2941176470588235,310.0,370.0,-60.0,17
SEA,0.3629714140785864,0.5882352941176471,27,12.5,14.5,Stacked,1082355.0,3287858.9615384615,170968666.0,52.0,10,7,0.5882352941176471,375.0,368.0,7.0,17
NYG,0.35531837623596896,0.17647058823529413,28,31.0,-3.0,Stacked,1152500.0,2206632.4905660376,116951522.0,53.0,3,14,0.1764705882352941,273.0,415.0,-142.0,17
JAX,0.3377949380154319,0.23529411764705882,29,28.0,1.0,Stacked,1389621.0,2695727.150943396,142873539.0,53.0,4,13,0.2352941176470588,320.0,435.0,-115.0,17
NYJ,0.3346792321108631,0.29411764705882354,30,24.5,5.5,Stacked,1176024.0,2958533.0943396227,156802254.0,53.0,5,12,0.2941176470588235,338.0,404.0,-66.0,17
CLE,0.24514279757943142,0.17647058823529413,31,31.0,0.0,Stacked,1000568.0,2462932.1886792453,130535406.0,53.0,3,14,0.1764705882352941,258.0,435.0,-177.0,17
TEN,0.22251834783794228,0.17647058823529413,32,31.0,1.0,Stacked,988334.0,2680040.132075472,142042127.0,53.0,3,14,0.1764705882352941,311.0,460.0,-149.0,17
